STATE,DOSE EQUIVALENT RATE (nSv/h),GAMMA COUNT RATE R02 (CPM),GAMMA COUNT RATE R03 (CPM),GAMMA COUNT RATE R04 (CPM),GAMMA COUNT RATE R05 (CPM),GAMMA COUNT RATE R06 (CPM),GAMMA COUNT RATE R07 (CPM),GAMMA COUNT RATE R08 (CPM),GAMMA COUNT RATE R09 (CPM)
Louisiana.csv_2.csv 0,,1655.6305987741632,977.8095238095239,294.8760018859029,151.43316831683168,86.81612446958981,109.37541254125412,65.47501178689298,35.066242338519565
Maine.csv_2.csv 0,,2377.8803197234824,1398.1404190969972,383.3037373082739,188.19161806005616,118.89608986822208,139.73320371570534,73.88593648736229,29.898898250162024
Maryland.csv_2.csv 0,,1634.3717171717171,1048.518686868687,295.3926767676768,163.21957070707072,94.50340909090909,113.68219696969697,71.20669191919193,28.326515151515153
Massachusetts.csv_2.csv 0,,3135.286232823438,1954.5486129115893,562.7212859735546,299.44542390458906,198.4010889292196,230.36142079336273,140.7674358309567,39.91794140523723
Michigan.csv_2.csv 0,,1750.7773801002147,1140.6366022429015,326.8381054640897,169.4477451682176,103.33619661178716,122.97816750178954,66.63481269386781,31.04127893104271
Minnesota.csv_2.csv 0,,1572.6698331506516,927.1982706125929,264.76239191328705,137.03008159785654,82.31737912556326,103.86664230909756,55.91012056996712,23.41371331141152
Mississippi.csv_2.csv 0,,1817.3765834460705,925.9263313245604,237.28323699421966,125.12815151887837,66.60078711105645,78.74418890665355,49.872094453326774,28.631779608904193
Missouri.csv_2.csv 0,,1625.3625937362153,962.181443905308,273.4900749889722,152.38538450227907,86.83414203793559,116.26437288634024,70.53036318188502,27.520511689457432
Montana.csv_2.csv 0,,3956.998988110296,2903.17986339489,1012.317859853276,558.7286870731091,327.3002782696686,331.8680748798381,140.6947887680243,64.18947634707817
Nebraska.csv_2.csv 0,,2630.452863179368,1630.7923648550197,463.1553256593327,247.13434358152412,150.06586041089903,189.29360338044586,103.43158968381175,36.17834766137258
